Study Name	044_18
Sample Name	2024-10-03
Run Name	spot00
Operator	Elena
Date	10/3/2024
Time	15:10
Sign	FIX
Grating Spacing	06.40um
Channel	3
Number Traces	2000
Files in Batch	6
Batch Number	158
dt	100.000001E-12
time stamp (ms)	3:39:46 PM
	
Time	Amplitude
7.700000E-9	-1.713179E-4
7.800000E-9	-8.566220E-5
7.900000E-9	3.940097E-4
8.000000E-9	1.104952E-3
8.100000E-9	1.421878E-3
8.200000E-9	1.473272E-3
8.300000E-9	1.164911E-3
8.400000E-9	7.623292E-4
8.500000E-9	4.025753E-4
8.600000E-9	3.169196E-4
8.700000E-9	1.970016E-4
8.800000E-9	5.224933E-4
8.900000E-9	4.882310E-4
9.000000E-9	6.424113E-4
9.100000E-9	4.454032E-4
9.200000E-9	4.625343E-4
9.300000E-9	1.113459E-4
9.400000E-9	-1.798835E-4
9.500000E-9	-4.025883E-4
9.600000E-9	-4.796784E-4
9.700000E-9	-3.426293E-4
9.800000E-9	-5.996549E-5
9.900000E-9	3.340507E-4
1.000000E-8	8.565505E-4
1.010000E-8	1.207739E-3
1.020000E-8	1.301960E-3
1.030000E-8	1.036427E-3
1.040000E-8	5.995834E-4
1.050000E-8	2.826573E-4
1.060000E-8	-5.996549E-5
1.070000E-8	-5.996549E-5
1.080000E-8	6.851806E-5
1.090000E-8	3.768786E-4
1.100000E-8	5.738867E-4
1.110000E-8	4.282720E-4
1.120000E-8	5.824523E-4
1.130000E-8	5.567556E-4
1.140000E-8	8.308538E-4
1.150000E-8	1.293395E-3
1.160000E-8	1.755935E-3
1.170000E-8	1.970075E-3
1.180000E-8	1.987206E-3
1.190000E-8	1.764501E-3
1.200000E-8	1.276263E-3
1.210000E-8	7.451981E-4
1.220000E-8	5.053621E-4
1.230000E-8	4.111409E-4
1.240000E-8	5.567556E-4
1.250000E-8	7.708948E-4
1.260000E-8	7.537637E-4
1.270000E-8	8.993784E-4
1.280000E-8	8.479849E-4
1.290000E-8	8.651161E-4
1.300000E-8	9.079439E-4
1.310000E-8	8.051571E-4
1.320000E-8	6.595424E-4
1.330000E-8	4.454032E-4
1.340000E-8	3.426163E-4
1.350000E-8	5.310589E-4
1.360000E-8	1.019296E-3
1.370000E-8	1.344788E-3
1.380000E-8	1.661714E-3
1.390000E-8	1.730239E-3
1.400000E-8	1.327657E-3
1.410000E-8	9.593374E-4
1.420000E-8	2.655262E-4
1.430000E-8	-1.541868E-4
1.440000E-8	-3.854572E-4
1.450000E-8	-3.854572E-4
1.460000E-8	-4.025883E-4
1.470000E-8	-5.396374E-4
1.480000E-8	-6.167275E-4
1.490000E-8	-6.852521E-4
1.500000E-8	-2.398425E-4
1.510000E-8	-1.541868E-4
1.520000E-8	3.425578E-5
1.530000E-8	-8.572068E-6
1.540000E-8	-1.627523E-4
1.550000E-8	-2.484080E-4
1.560000E-8	-5.653341E-4
1.570000E-8	-2.227113E-4
1.580000E-8	3.511819E-4
1.590000E-8	1.147780E-3
1.600000E-8	1.884419E-3
1.610000E-8	2.295566E-3
1.620000E-8	2.406919E-3
1.630000E-8	1.944378E-3
1.640000E-8	1.533231E-3
1.650000E-8	8.736817E-4
1.660000E-8	3.169196E-4
1.670000E-8	2.312639E-4
1.680000E-8	1.798705E-4
1.690000E-8	2.483950E-4
1.700000E-8	5.481900E-4
1.710000E-8	6.338457E-4
1.720000E-8	6.509768E-4
1.730000E-8	6.595424E-4
1.740000E-8	6.252801E-4
1.750000E-8	8.308538E-4
1.760000E-8	9.165095E-4
1.770000E-8	9.850341E-4
1.780000E-8	1.293395E-3
1.790000E-8	1.533231E-3
1.800000E-8	1.601755E-3
1.810000E-8	1.798763E-3
1.820000E-8	1.824460E-3
1.830000E-8	1.807329E-3
1.840000E-8	1.892985E-3
1.850000E-8	1.841591E-3
1.860000E-8	1.627452E-3
1.870000E-8	1.233436E-3
1.880000E-8	7.366325E-4
1.890000E-8	2.141328E-4
1.900000E-8	5.138692E-5
1.910000E-8	8.559073E-6
1.920000E-8	-5.996549E-5
1.930000E-8	8.564920E-5
1.940000E-8	3.169196E-4
1.950000E-8	4.967966E-4
1.960000E-8	6.252801E-4
1.970000E-8	3.940097E-4
1.980000E-8	1.884360E-4
1.990000E-8	8.564920E-5
2.000000E-8	6.338457E-4
2.010000E-8	1.970075E-3
2.020000E-8	4.436959E-3
2.030000E-8	7.897449E-3
2.040000E-8	1.191470E-2
2.050000E-8	1.666003E-2
2.060000E-8	2.118265E-2
2.070000E-8	2.487441E-2
2.080000E-8	2.703293E-2
2.090000E-8	2.722138E-2
2.100000E-8	2.539691E-2
2.110000E-8	2.185933E-2
2.120000E-8	1.709687E-2
2.130000E-8	1.180335E-2
2.140000E-8	6.484130E-3
2.150000E-8	2.149952E-3
2.160000E-8	-8.736947E-4
