Study Name	Beam_042_10_RT_lecroy
Sample Name	2025-09-10
Run Name	spot00
Operator	Elena
Date	9/10/2025
Time	15:49
Sign	FIX
Grating Spacing	03.40um
Channel	3
Number Traces	2000
Files in Batch	6
Batch Number	527
dt	50.000001E-12
time stamp (ms)	5:33:16 PM
	
Time	Amplitude
1.250000E-8	1.773330E-1
1.255000E-8	1.844167E-1
1.260000E-8	1.910636E-1
1.265000E-8	1.970424E-1
1.270000E-8	2.023188E-1
1.275000E-8	2.070127E-1
1.280000E-8	2.108244E-1
1.285000E-8	2.134626E-1
1.290000E-8	2.149530E-1
1.295000E-8	2.151414E-1
1.300000E-8	2.136596E-1
1.305000E-8	2.107815E-1
1.310000E-8	2.068842E-1
1.315000E-8	2.018391E-1
1.320000E-8	1.958346E-1
1.325000E-8	1.895646E-1
1.330000E-8	1.832432E-1
1.335000E-8	1.767677E-1
1.340000E-8	1.705662E-1
1.345000E-8	1.650500E-1
1.350000E-8	1.599877E-1
1.355000E-8	1.554565E-1
1.360000E-8	1.519618E-1
1.365000E-8	1.494178E-1
1.370000E-8	1.474563E-1
1.375000E-8	1.462228E-1
1.380000E-8	1.459573E-1
1.385000E-8	1.465740E-1
1.390000E-8	1.479617E-1
1.395000E-8	1.501459E-1
1.400000E-8	1.530239E-1
1.405000E-8	1.565529E-1
1.410000E-8	1.606558E-1
1.415000E-8	1.650414E-1
1.420000E-8	1.695212E-1
1.425000E-8	1.740010E-1
1.430000E-8	1.781981E-1
1.435000E-8	1.817957E-1
1.440000E-8	1.847679E-1
1.445000E-8	1.870207E-1
1.450000E-8	1.882284E-1
1.455000E-8	1.883483E-1
1.460000E-8	1.876374E-1
1.465000E-8	1.860784E-1
1.470000E-8	1.834060E-1
1.475000E-8	1.796457E-1
1.480000E-8	1.751745E-1
1.485000E-8	1.702664E-1
1.490000E-8	1.649986E-1
1.495000E-8	1.594909E-1
1.500000E-8	1.539404E-1
1.505000E-8	1.487240E-1
1.510000E-8	1.440386E-1
1.515000E-8	1.399014E-1
1.520000E-8	1.365266E-1
1.525000E-8	1.341368E-1
1.530000E-8	1.326036E-1
1.535000E-8	1.317128E-1
1.540000E-8	1.317642E-1
1.545000E-8	1.328605E-1
1.550000E-8	1.345480E-1
1.555000E-8	1.365866E-1
1.560000E-8	1.392248E-1
1.565000E-8	1.424797E-1
1.570000E-8	1.459916E-1
1.575000E-8	1.495634E-1
1.580000E-8	1.532809E-1
1.585000E-8	1.571611E-1
1.590000E-8	1.609899E-1
1.595000E-8	1.645617E-1
1.600000E-8	1.678595E-1
1.605000E-8	1.708146E-1
1.610000E-8	1.731873E-1
1.615000E-8	1.748061E-1
1.620000E-8	1.756113E-1
1.625000E-8	1.754914E-1
1.630000E-8	1.742836E-1
1.635000E-8	1.719624E-1
1.640000E-8	1.686389E-1
1.645000E-8	1.643390E-1
1.650000E-8	1.590798E-1
1.655000E-8	1.530496E-1
1.660000E-8	1.466511E-1
1.665000E-8	1.402698E-1
1.670000E-8	1.342139E-1
1.675000E-8	1.287405E-1
1.680000E-8	1.242008E-1
1.685000E-8	1.208859E-1
1.690000E-8	1.189072E-1
1.695000E-8	1.181620E-1
1.700000E-8	1.185646E-1
1.705000E-8	1.201407E-1
1.710000E-8	1.227532E-1
1.715000E-8	1.260252E-1
1.720000E-8	1.296913E-1
1.725000E-8	1.336400E-1
1.730000E-8	1.376658E-1
1.735000E-8	1.415460E-1
1.740000E-8	1.452378E-1
1.745000E-8	1.487497E-1
1.750000E-8	1.520303E-1
1.755000E-8	1.550111E-1
1.760000E-8	1.577007E-1
1.765000E-8	1.601162E-1
1.770000E-8	1.621548E-1
1.775000E-8	1.636709E-1
1.780000E-8	1.645360E-1
1.785000E-8	1.647502E-1
1.790000E-8	1.641591E-1
1.795000E-8	1.624974E-1
1.800000E-8	1.597736E-1
1.805000E-8	1.563216E-1
1.810000E-8	1.522273E-1
1.815000E-8	1.473963E-1
1.820000E-8	1.420257E-1
1.825000E-8	1.365951E-1
1.830000E-8	1.313359E-1
1.835000E-8	1.263422E-1
1.840000E-8	1.219994E-1
1.845000E-8	1.186588E-1
1.850000E-8	1.162262E-1
1.855000E-8	1.145816E-1
1.860000E-8	1.140334E-1
1.865000E-8	1.147101E-1
1.870000E-8	1.162091E-1
1.875000E-8	1.182648E-1
1.880000E-8	1.210144E-1
1.885000E-8	1.244235E-1
1.890000E-8	1.280810E-1
1.895000E-8	1.318498E-1
1.900000E-8	1.358928E-1
1.905000E-8	1.401070E-1
1.910000E-8	1.440729E-1
1.915000E-8	1.476790E-1
1.920000E-8	1.511480E-1
1.925000E-8	1.543773E-1
1.930000E-8	1.569983E-1
1.935000E-8	1.587971E-1
1.940000E-8	1.599877E-1
1.945000E-8	1.606387E-1
1.950000E-8	1.603903E-1
1.955000E-8	1.590112E-1
1.960000E-8	1.567242E-1
1.965000E-8	1.537177E-1
1.970000E-8	1.500088E-1
1.975000E-8	1.456061E-1
1.980000E-8	1.406381E-1
1.985000E-8	1.353360E-1
1.990000E-8	1.299740E-1
1.995000E-8	1.247832E-1
2.000000E-8	1.200465E-1
2.005000E-8	1.160292E-1
2.010000E-8	1.128685E-1
2.015000E-8	1.106757E-1
2.020000E-8	1.096736E-1
2.025000E-8	1.099048E-1
2.030000E-8	1.112068E-1
2.035000E-8	1.134167E-1
2.040000E-8	1.166031E-1
2.045000E-8	1.205947E-1
2.050000E-8	1.250916E-1
2.055000E-8	1.298283E-1
2.060000E-8	1.345565E-1
2.065000E-8	1.390535E-1
2.070000E-8	1.431649E-1
2.075000E-8	1.467710E-1
2.080000E-8	1.498032E-1
2.085000E-8	1.522016E-1
2.090000E-8	1.538291E-1
2.095000E-8	1.546171E-1
2.100000E-8	1.547456E-1
2.105000E-8	1.543516E-1
2.110000E-8	1.534179E-1
2.115000E-8	1.519361E-1
2.120000E-8	1.500260E-1
2.125000E-8	1.477389E-1
2.130000E-8	1.449894E-1
2.135000E-8	1.417430E-1
2.140000E-8	1.381455E-1
2.145000E-8	1.343338E-1
2.150000E-8	1.302823E-1
2.155000E-8	1.259653E-1
2.160000E-8	1.216397E-1
2.165000E-8	1.176310E-1
2.170000E-8	1.138707E-1
